..........AI : 6.331 s, Game : 1.268 s
Episode 001 avg. reward = -0.900, Long-term avg. reward = -0.900
..........AI : 2.920 s, Game : 0.762 s
Episode 002 avg. reward = -1.000, Long-term avg. reward = -0.901
..........AI : 4.859 s, Game : 1.530 s
Episode 003 avg. reward = -0.800, Long-term avg. reward = -0.900
..........AI : 2.903 s, Game : 0.766 s
Episode 004 avg. reward = -1.000, Long-term avg. reward = -0.901
..........AI : 4.580 s, Game : 1.211 s
Episode 005 avg. reward = -0.800, Long-term avg. reward = -0.900
..........AI : 5.934 s, Game : 1.788 s
Episode 006 avg. reward = -0.600, Long-term avg. reward = -0.897
..........AI : 3.883 s, Game : 1.059 s
Episode 007 avg. reward = -0.900, Long-term avg. reward = -0.897
..........AI : 4.293 s, Game : 1.145 s
Episode 008 avg. reward = -0.800, Long-term avg. reward = -0.896
..........AI : 4.710 s, Game : 1.432 s
Episode 009 avg. reward = -0.700, Long-term avg. reward = -0.894
..........AI : 3.162 s, Game : 0.859 s
Episode 010 avg. reward = -1.000, Long-term avg. reward = -0.895
..........AI : 3.219 s, Game : 0.819 s
Episode 011 avg. reward = -0.900, Long-term avg. reward = -0.895
..........AI : 3.205 s, Game : 0.832 s
Episode 012 avg. reward = -0.900, Long-term avg. reward = -0.895
..........AI : 4.297 s, Game : 1.232 s
Episode 013 avg. reward = -0.900, Long-term avg. reward = -0.895
..........AI : 3.530 s, Game : 0.950 s
Episode 014 avg. reward = -0.900, Long-term avg. reward = -0.895
..........AI : 3.506 s, Game : 0.999 s
Episode 015 avg. reward = -0.900, Long-term avg. reward = -0.895
..........AI : 3.117 s, Game : 0.921 s
Episode 016 avg. reward = -1.000, Long-term avg. reward = -0.896
..........AI : 2.662 s, Game : 0.670 s
Episode 017 avg. reward = -1.000, Long-term avg. reward = -0.897
..........AI : 2.719 s, Game : 0.696 s
Episode 018 avg. reward = -1.000, Long-term avg. reward = -0.898
..........AI : 2.837 s, Game : 0.702 s
Episode 019 avg. reward = -1.000, Long-term avg. reward = -0.900
..........AI : 3.304 s, Game : 0.901 s
Episode 020 avg. reward = -1.000, Long-term avg. reward = -0.901
..........AI : 4.274 s, Game : 1.241 s
Episode 021 avg. reward = -0.900, Long-term avg. reward = -0.900
..........AI : 2.838 s, Game : 0.707 s
Episode 022 avg. reward = -1.000, Long-term avg. reward = -0.901
